model,calibration_n,analysis_n,effect_sigma,w_over_sigma,trials,timing_shared_width_sigma,timing_local_width_sigma,false_admission,missed_effect,coverage,decision_coverage,floor_predictive_coverage,refusal,equiv_admission,equiv_refusal,component_dominance,joint12_dominance,median_r,median_guarded_floor_sigma
linear_drift,5,10,2.0,2.0,30,0.0,2.0,,1.0,0.7694444444444445,1.0,1.0,1.0,0.0,1.0,0.9638888888888889,0.6666666666666666,2.7602253195421955,15.635903108896128
linear_drift,5,10,5.0,2.0,30,0.0,2.0,,1.0,0.7861111111111111,1.0,1.0,1.0,0.0,1.0,0.9583333333333334,0.6666666666666666,2.778457775586397,15.684790190287604
linear_drift,5,30,0.0,2.0,30,0.0,2.0,0.0,,0.6027777777777777,1.0,1.0,1.0,0.0,1.0,0.9861111111111112,0.8333333333333334,2.7650287514964598,15.680312513652254
linear_drift,5,30,2.0,2.0,30,0.0,2.0,,1.0,0.5138888888888888,1.0,1.0,1.0,0.0,1.0,0.9805555555555555,0.7666666666666667,2.7519844149012425,15.73581375231816
linear_drift,5,30,5.0,2.0,30,0.0,2.0,,1.0,0.5305555555555556,1.0,1.0,1.0,0.0,1.0,0.9777777777777777,0.7333333333333333,2.785105161690925,15.587591086860325
linear_drift,8,10,0.0,0.5,30,0.0,0.5,0.0,,0.7666666666666667,0.9722222222222222,1.0,1.0,0.1388888888888889,0.8611111111111112,0.002777777777777778,0.0,1.4003488853301294,5.025430308820904
linear_drift,8,10,2.0,0.5,30,0.0,0.5,,1.0,0.7833333333333333,0.9583333333333334,0.9972222222222222,1.0,0.08888888888888889,0.9083333333333333,0.002777777777777778,0.0,1.3888347358180582,5.084973572071831
linear_drift,8,10,5.0,0.5,30,0.0,0.5,,0.5611111111111111,0.6611111111111111,0.9277777777777778,0.9944444444444445,0.5611111111111111,0.0,0.9222222222222223,0.0,0.0,1.3786479792670274,5.133288590705931
linear_drift,8,30,0.0,0.5,30,0.0,0.5,0.0,,0.5944444444444444,0.9416666666666667,1.0,1.0,0.10555555555555556,0.8944444444444445,0.005555555555555556,0.0,1.389745440515151,5.067966732108704
linear_drift,8,30,2.0,0.5,30,0.0,0.5,,1.0,0.4777777777777778,0.8583333333333333,1.0,1.0,0.10277777777777777,0.8972222222222223,0.0,0.0,1.3867691912133329,5.100466953740321
linear_drift,8,30,5.0,0.5,30,0.0,0.5,,0.5388888888888889,0.4861111111111111,0.9166666666666666,0.9972222222222222,0.5388888888888889,0.0,0.8916666666666667,0.002777777777777778,0.0,1.379984279862865,5.088117177081119
linear_drift,8,10,0.0,1.0,30,0.0,1.0,0.0,,0.8444444444444444,1.0,1.0,1.0,0.0,1.0,0.2,0.0,1.7845012221407754,6.610729285974879
linear_drift,8,10,2.0,1.0,30,0.0,1.0,,1.0,0.8444444444444444,0.9972222222222222,1.0,1.0,0.0,1.0,0.25277777777777777,0.0,1.7986435109488457,6.5255315153771205
linear_drift,8,10,5.0,1.0,30,0.0,1.0,,0.9333333333333333,0.775,0.9888888888888889,1.0,0.9333333333333333,0.0,1.0,0.2388888888888889,0.0,1.801423504779132,6.595137961797523
linear_drift,8,30,0.0,1.0,30,0.0,1.0,0.0,,0.5416666666666666,0.9916666666666667,1.0,1.0,0.0,1.0,0.22777777777777777,0.0,1.8038630772746522,6.617087740540782
linear_drift,8,30,2.0,1.0,30,0.0,1.0,,1.0,0.49444444444444446,0.9888888888888889,1.0,1.0,0.0,1.0,0.21388888888888888,0.0,1.7968956661736928,6.6585124765183945
linear_drift,8,30,5.0,1.0,30,0.0,1.0,,0.9277777777777778,0.45,0.9944444444444445,1.0,0.9277777777777778,0.0,1.0,0.23333333333333334,0.0,1.7927493827504817,6.605512160563526
linear_drift,8,10,0.0,2.0,30,0.0,2.0,0.0,,0.8638888888888889,1.0,1.0,1.0,0.0,1.0,0.9944444444444445,0.9333333333333333,2.750670932837403,9.511662467910183
linear_drift,8,10,2.0,2.0,30,0.0,2.0,,1.0,0.7555555555555555,1.0,1.0,1.0,0.0,1.0,0.9805555555555555,0.7666666666666667,2.649404228205994,9.694067860077187
linear_drift,8,10,5.0,2.0,30,0.0,2.0,,1.0,0.7916666666666666,1.0,1.0,1.0,0.0,1.0,0.9833333333333333,0.8,2.6264345035889347,9.70972658937778
linear_drift,8,30,0.0,2.0,30,0.0,2.0,0.0,,0.6638888888888889,1.0,1.0,1.0,0.0,1.0,0.9777777777777777,0.8,2.6814334015184347,9.6824541474384
linear_drift,8,30,2.0,2.0,30,0.0,2.0,,1.0,0.5861111111111111,1.0,1.0,1.0,0.0,1.0,0.9805555555555555,0.7666666666666667,2.706602575384536,9.64412862720081
linear_drift,8,30,5.0,2.0,30,0.0,2.0,,1.0,0.675,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,2.742563516995056,9.569706006222795
shared_local,5,10,0.0,0.5,30,0.25,0.25,0.0,,0.4222222222222222,0.8361111111111111,1.0,1.0,0.005555555555555556,0.9944444444444445,0.09722222222222222,0.0,1.5951461798789128,6.4712502434781545
shared_local,5,10,2.0,0.5,30,0.25,0.25,,1.0,0.5277777777777778,0.7833333333333333,1.0,1.0,0.016666666666666666,0.9833333333333333,0.12222222222222222,0.0,1.628552636374561,6.226700947060605
shared_local,5,10,5.0,0.5,30,0.25,0.25,,0.8194444444444444,0.5888888888888889,0.8694444444444445,1.0,0.8194444444444444,0.0,0.9805555555555555,0.12777777777777777,0.0,1.6160044746266997,6.2311362676694415
shared_local,5,30,0.0,0.5,30,0.25,0.25,0.0,,0.19444444444444445,0.6555555555555556,1.0,1.0,0.016666666666666666,0.9833333333333333,0.09722222222222222,0.0,1.6263135627030962,6.287870151447259
shared_local,5,30,2.0,0.5,30,0.25,0.25,,1.0,0.30833333333333335,0.6694444444444444,1.0,1.0,0.013888888888888888,0.9861111111111112,0.1,0.0,1.5878022514947134,6.4243049864551
shared_local,5,30,5.0,0.5,30,0.25,0.25,,0.8166666666666667,0.2361111111111111,0.6805555555555556,1.0,0.8166666666666667,0.0,0.9861111111111112,0.13055555555555556,0.0,1.6083042370105867,6.39114719142165
shared_local,5,10,0.0,1.0,30,0.5,0.5,0.0,,0.4583333333333333,0.9555555555555556,1.0,1.0,0.0,1.0,0.675,0.0,2.1598765913214493,9.213311843447322
shared_local,5,10,2.0,1.0,30,0.5,0.5,,1.0,0.41388888888888886,0.875,1.0,1.0,0.0,1.0,0.6416666666666667,0.0,2.1402144323783996,9.27692411071021
shared_local,5,10,5.0,1.0,30,0.5,0.5,,1.0,0.6638888888888889,0.975,1.0,1.0,0.0,1.0,0.7527777777777778,0.03333333333333333,2.242770594190392,8.86711767902935
shared_local,5,30,0.0,1.0,30,0.5,0.5,0.0,,0.3194444444444444,0.7722222222222223,1.0,1.0,0.0,1.0,0.6555555555555556,0.03333333333333333,2.157641916099466,9.222718987218883
shared_local,5,30,2.0,1.0,30,0.5,0.5,,1.0,0.24722222222222223,0.9166666666666666,1.0,1.0,0.0,1.0,0.6833333333333333,0.06666666666666667,2.1477856177483163,9.179276771848059
shared_local,5,30,5.0,1.0,30,0.5,0.5,,1.0,0.25555555555555554,0.9277777777777778,1.0,1.0,0.0,1.0,0.7222222222222222,0.1,2.2135519307526,8.98026261810936
shared_local,5,10,0.0,2.0,30,1.0,1.0,0.0,,0.41388888888888886,0.9972222222222222,1.0,1.0,0.0,1.0,0.9944444444444445,0.9333333333333333,2.935861606853535,15.32523307136615
shared_local,5,10,2.0,2.0,30,1.0,1.0,,1.0,0.5833333333333334,0.9944444444444445,1.0,1.0,0.0,1.0,0.9916666666666667,0.9,3.028488934536904,15.01093664104053
shared_local,5,10,5.0,2.0,30,1.0,1.0,,1.0,0.4,1.0,1.0,1.0,0.0,1.0,0.9916666666666667,0.9,2.9399348780878363,15.23867720903255
shared_local,5,30,0.0,2.0,30,1.0,1.0,0.0,,0.3333333333333333,1.0,1.0,1.0,0.0,1.0,0.9972222222222222,0.9666666666666667,3.0435727177173164,14.889540529225403
shared_local,5,30,2.0,2.0,30,1.0,1.0,,1.0,0.325,1.0,1.0,1.0,0.0,1.0,0.9888888888888889,0.8666666666666667,2.9570744765104413,15.091266030334733
shared_local,5,30,5.0,2.0,30,1.0,1.0,,1.0,0.2388888888888889,0.9833333333333333,1.0,1.0,0.0,1.0,0.9888888888888889,0.9,3.011391138054215,15.113508992915275
shared_local,8,10,0.0,0.5,30,0.25,0.25,0.0,,0.4444444444444444,0.775,1.0,1.0,0.4722222222222222,0.5277777777777778,0.027777777777777776,0.0,1.546760586812718,4.067880948216461
shared_local,8,10,2.0,0.5,30,0.25,0.25,,0.9972222222222222,0.48333333333333334,0.8611111111111112,0.9972222222222222,0.9972222222222222,0.4583333333333333,0.5277777777777778,0.03888888888888889,0.0,1.5478974038855178,4.074217892702489
shared_local,8,10,5.0,0.5,30,0.25,0.25,,0.16666666666666666,0.46944444444444444,0.8666666666666667,1.0,0.16666666666666666,0.0,0.49444444444444446,0.03888888888888889,0.0,1.570269046714309,3.994617122888993
shared_local,8,30,0.0,0.5,30,0.25,0.25,0.0,,0.25,0.6972222222222222,1.0,1.0,0.41944444444444445,0.5805555555555556,0.03888888888888889,0.0,1.5353704861825346,4.176526576978939
shared_local,8,30,2.0,0.5,30,0.25,0.25,,1.0,0.3388888888888889,0.7083333333333334,1.0,1.0,0.48333333333333334,0.5111111111111111,0.03333333333333333,0.0,1.564573501202569,4.01908500179459
shared_local,8,30,5.0,0.5,30,0.25,0.25,,0.1361111111111111,0.3333333333333333,0.6555555555555556,1.0,0.1361111111111111,0.0,0.5388888888888889,0.05277777777777778,0.0,1.5506228548914942,4.073781087874863
