PID  PPID STARTED                           TIME COMM
  628     1 Fri Sep 18 17:41:20 2026       0:40.11 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  629     1 Fri Sep 18 17:41:20 2026       0:01.61 /usr/libexec/linkd
  631     1 Fri Sep 18 17:41:20 2026       0:04.35 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
  632     1 Fri Sep 18 17:41:21 2026       0:04.30 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  633     1 Fri Sep 18 17:41:21 2026       0:00.23 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  634     1 Fri Sep 18 17:41:21 2026       0:10.18 /usr/libexec/sharingd
  635     1 Fri Sep 18 17:41:21 2026       0:01.19 /usr/libexec/neagent
  636     1 Fri Sep 18 17:41:21 2026       0:23.13 /usr/libexec/nsurlsessiond
  639     1 Fri Sep 18 17:41:21 2026       0:01.18 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  640     1 Fri Sep 18 17:41:21 2026       0:02.99 /System/Library/PrivateFrameworks/ReplicatorCore.framework/Support/replicatord
  641     1 Fri Sep 18 17:41:21 2026       0:00.25 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  642     1 Fri Sep 18 17:41:21 2026       0:54.87 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  643     1 Fri Sep 18 17:41:21 2026       0:01.78 /System/Library/CoreServices/talagentd
  644     1 Fri Sep 18 17:41:21 2026       0:05.22 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  645     1 Fri Sep 18 17:41:21 2026       0:06.30 /usr/libexec/transparencyd
  647     1 Fri Sep 18 17:41:21 2026       0:01.09 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  648     1 Fri Sep 18 17:41:21 2026       0:01.13 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  650     1 Fri Sep 18 17:41:21 2026       0:00.06 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  651     1 Fri Sep 18 17:41:21 2026       0:01.19 /usr/libexec/pkd
  652     1 Fri Sep 18 17:41:21 2026       0:00.47 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  653     1 Fri Sep 18 17:41:21 2026       0:00.19 /System/Library/CoreServices/sharedfilelistd
  654     1 Fri Sep 18 17:41:21 2026       0:00.34 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  655     1 Fri Sep 18 17:41:21 2026       0:00.28 /usr/libexec/findmylocateagent
  656     1 Fri Sep 18 17:41:21 2026       0:08.82 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  657     1 Fri Sep 18 17:41:21 2026       0:17.26 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
  658     1 Fri Sep 18 17:41:21 2026       0:00.29 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  660     1 Fri Sep 18 17:41:21 2026       0:38.15 /Applications/ProtonVPN.app/Contents/MacOS/ProtonVPN
  661     1 Fri Sep 18 17:41:21 2026       0:00.44 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
